id,impression_count,retweet_count,reply_count,like_count,quote_count,bookmark_count,referenced_tweets_type,media
1.87E+18,11982,0,5,51,0,1,replied_to,multiple_images
1.87E+18,21054,2,30,278,2,7,,1_image
1.87E+18,40227,14,46,729,1,15,quoted,
1.87E+18,159723,88,136,5097,24,127,,multiple_images
1.86E+18,57315,31,86,2096,4,33,,1_image
1.86E+18,84471,20,94,1869,10,28,,1_image
1.86E+18,2899,0,2,12,0,2,replied_to,
1.86E+18,4552,1,6,73,0,1,replied_to,
1.86E+18,142854,72,171,1978,11,94,replied_to,
1.86E+18,68354,147,52,1143,2,38,quoted,
1.86E+18,646026,532,477,17857,444,306,,1_image
1.86E+18,770939,731,487,39191,133,387,,1_image
1.85E+18,20924,5,23,114,1,5,replied_to,
1.85E+18,63428,9,219,536,12,48,,
1.85E+18,142351,303,54,3063,16,541,,video
1.85E+18,22846,18,7,297,1,23,,video
1.85E+18,469665,463,105,7705,27,761,,video
1.85E+18,34112,29,28,528,3,27,,video
1.85E+18,122231,260,59,3322,20,768,,video
1.85E+18,26697,42,18,311,3,26,,video
1.85E+18,27587,31,22,469,4,88,,video
1.85E+18,918491,1247,1024,17807,211,1061,,video
1.85E+18,5,58,0,0,0,0,retweeted,
1.85E+18,53347,77,17,889,2,235,,video
1.85E+18,18757,23,39,446,2,29,,
1.85E+18,5083,3,9,102,0,1,replied_to,
1.84E+18,544,0,0,3,0,0,replied_to,
1.84E+18,12251,0,7,99,0,12,replied_to,
1.84E+18,27101,1,126,264,3,8,,
1.84E+18,129652,709,86,16225,5,97,,multiple_images
1.84E+18,14196,3,6,63,0,13,replied_to,
1.84E+18,15486,2,6,108,0,3,replied_to,
1.84E+18,104447,44,50,2189,9,109,,multiple_images
1.84E+18,2915,0,1,31,0,0,replied_to,
1.84E+18,0,58,0,0,0,0,retweeted,
1.84E+18,1385,0,0,6,0,0,replied_to,
1.84E+18,11706,12,11,100,3,27,replied_to,
1.84E+18,20008,19,7,195,2,53,replied_to,video
1.84E+18,7595,4,1,60,0,9,replied_to,video
1.84E+18,1180,0,2,11,0,0,replied_to,
1.84E+18,41156,26,4,292,3,72,replied_to,video
1.84E+18,33400,22,1,252,4,43,replied_to,video
1.84E+18,40746,24,1,294,2,47,replied_to,video
1.84E+18,52958,60,6,508,13,174,replied_to,video
1.84E+18,56993,19,2,313,1,64,replied_to,video
1.84E+18,55971,23,2,446,1,96,replied_to,video
1.84E+18,65372,19,14,731,5,91,replied_to,video
1.84E+18,1102020,376,245,11212,105,1876,,1_image
1.84E+18,4934,0,1,33,0,0,replied_to,
1.84E+18,12524,0,3,56,0,0,replied_to,
1.84E+18,613829,484,671,12766,278,536,,multiple_images
1.84E+18,181001,34,100,1780,29,32,quoted,
1.84E+18,17471,2,5,97,1,7,,video
1.84E+18,26638,26,20,520,1,84,,video
1.84E+18,11900,1,7,33,0,3,quoted,
1.84E+18,804697,982,748,19348,153,457,,video
1.84E+18,851154,848,1006,7920,188,882,,video
1.84E+18,246804,62,45,796,6,204,,video
1.84E+18,2213,1,1,4,0,1,replied_to,
1.84E+18,5801,0,2,39,0,1,replied_to,
1.84E+18,192565,6,17,332,1,17,quoted,
1.83E+18,109716,19,15,413,2,27,quoted,
1.83E+18,518600,359,171,8060,49,280,,video
1.82E+18,798108,2368,271,21116,88,636,,video
1.82E+18,56871,39,35,456,3,36,,
1.81E+18,45650,11,31,187,1,6,replied_to,
1.81E+18,64033,25,76,483,6,31,,
1.81E+18,78669,7,45,870,1,19,quoted,
1.81E+18,29558,1,13,49,0,1,replied_to,
1.81E+18,43382,4,75,184,1,6,,
1.81E+18,2333,0,1,15,0,0,replied_to,
1.81E+18,99375,131,106,3601,14,29,,
1.81E+18,60199,82,21,2228,2,21,quoted,
1.81E+18,43776,14,127,355,8,25,replied_to,
1.80E+18,27026,3,13,138,0,11,replied_to,
1.80E+18,56732,14,63,575,7,19,,
1.80E+18,35865,7,43,203,3,6,,
1.80E+18,19609,8,11,119,1,13,replied_to,1_image
1.80E+18,25045,10,26,186,2,9,,
1.80E+18,13446,0,7,29,0,0,replied_to,
1.80E+18,15970,1,3,15,0,0,replied_to,
1.80E+18,2885,1,1,5,0,0,replied_to,
1.80E+18,1438,0,1,5,0,0,replied_to,
1.80E+18,1321,0,1,3,0,0,replied_to,
1.80E+18,1239,0,1,4,0,0,replied_to,
1.80E+18,1182,0,1,5,0,0,replied_to,
1.80E+18,1148,0,1,4,0,0,replied_to,
1.80E+18,1186,0,1,5,0,0,replied_to,
1.80E+18,16978,0,7,21,1,2,replied_to,
1.80E+18,9958,0,6,11,0,0,replied_to,
1.80E+18,24039,1,27,243,2,8,,
1.80E+18,3973,1,1,30,1,0,replied_to,
1.80E+18,705,0,2,7,0,0,replied_to,
1.80E+18,796,0,0,6,0,0,replied_to,
1.80E+18,22739,1,23,171,0,6,,
1.80E+18,47860,21,119,530,7,27,,
1.80E+18,9429,1,4,76,1,0,replied_to,
1.80E+18,8471,1,1,100,0,0,replied_to,
1.80E+18,91418,12,99,930,7,15,replied_to,
1.80E+18,70480,32,158,575,8,99,,
